AlbumTitle,Date,PlayCount
"Chronicle, Vol. 2",2023-01-01,56
"Chronicle, Vol. 2",2023-02-01,65
"Chronicle, Vol. 2",2023-03-01,67
"Chronicle, Vol. 2",2023-04-01,63
"Chronicle, Vol. 2",2023-05-01,60
"Chronicle, Vol. 2",2023-06-01,65
"Chronicle, Vol. 2",2023-07-01,57
"Chronicle, Vol. 2",2023-08-01,59
"Chronicle, Vol. 2",2023-09-01,62
"Chronicle, Vol. 2",2023-10-01,55
"Chronicle, Vol. 2",2023-11-01,59
"Chronicle, Vol. 2",2023-12-01,63
"Chronicle, Vol. 2",2024-01-01,63
"Chronicle, Vol. 2",2024-02-01,60
"Chronicle, Vol. 2",2024-03-01,57
"Chronicle, Vol. 2",2024-04-01,56
"Chronicle, Vol. 2",2024-05-01,60
"Chronicle, Vol. 2",2024-06-01,60
"Chronicle, Vol. 2",2024-07-01,55
"Chronicle, Vol. 2",2024-08-01,58
"Chronicle, Vol. 2",2024-09-01,57
"Chronicle, Vol. 2",2024-10-01,54
"Chronicle, Vol. 2",2024-11-01,60
"Chronicle, Vol. 2",2024-12-01,64
Cássia Eller - Coleção Sem Limite [Disc 2],2023-01-01,49
Cássia Eller - Coleção Sem Limite [Disc 2],2023-02-01,45
Cássia Eller - Coleção Sem Limite [Disc 2],2023-03-01,55
Cássia Eller - Coleção Sem Limite [Disc 2],2023-04-01,48
Cássia Eller - Coleção Sem Limite [Disc 2],2023-05-01,44
Cássia Eller - Coleção Sem Limite [Disc 2],2023-06-01,55
Cássia Eller - Coleção Sem Limite [Disc 2],2023-07-01,53
Cássia Eller - Coleção Sem Limite [Disc 2],2023-08-01,49
Cássia Eller - Coleção Sem Limite [Disc 2],2023-09-01,56
Cássia Eller - Coleção Sem Limite [Disc 2],2023-10-01,55
Cássia Eller - Coleção Sem Limite [Disc 2],2023-11-01,52
Cássia Eller - Coleção Sem Limite [Disc 2],2023-12-01,44
Cássia Eller - Coleção Sem Limite [Disc 2],2024-01-01,54
Cássia Eller - Coleção Sem Limite [Disc 2],2024-02-01,54
Cássia Eller - Coleção Sem Limite [Disc 2],2024-03-01,58
Cássia Eller - Coleção Sem Limite [Disc 2],2024-04-01,53
