ArtistName,Date,PlayCount
AC/DC,2023-01-01,76
AC/DC,2023-02-01,89
AC/DC,2023-03-01,84
AC/DC,2023-04-01,80
AC/DC,2023-05-01,77
AC/DC,2023-06-01,76
AC/DC,2023-07-01,88
AC/DC,2023-08-01,80
AC/DC,2023-09-01,80
AC/DC,2023-10-01,73
AC/DC,2023-11-01,77
AC/DC,2023-12-01,72
AC/DC,2024-01-01,71
AC/DC,2024-02-01,81
AC/DC,2024-03-01,75
AC/DC,2024-04-01,71
AC/DC,2024-05-01,70
AC/DC,2024-06-01,81
AC/DC,2024-07-01,81
AC/DC,2024-08-01,86
AC/DC,2024-09-01,79
AC/DC,2024-10-01,85
AC/DC,2024-11-01,84
AC/DC,2024-12-01,84
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-01-01,43
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-02-01,36
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-03-01,44
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-04-01,27
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-05-01,29
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-06-01,43
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-07-01,31
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-08-01,33
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-09-01,31
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-10-01,42
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-11-01,28
Academy of St. Martin in the Fields & Sir Neville Marriner,2023-12-01,38
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-01-01,42
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-02-01,33
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-03-01,26
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-04-01,44
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-05-01,39
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-06-01,31
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-07-01,36
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-08-01,32
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-09-01,39
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-10-01,27
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-11-01,38
Academy of St. Martin in the Fields & Sir Neville Marriner,2024-12-01,41
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-01-01,28
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-02-01,42
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-03-01,32
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-04-01,28
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-05-01,26
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-06-01,30
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-07-01,34
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-08-01,28
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-09-01,42
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-10-01,36
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-11-01,26
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2023-12-01,34
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-01-01,28
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-02-01,38
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-03-01,40
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-04-01,39
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-05-01,32
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-06-01,38
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-07-01,32
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-08-01,40
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-09-01,37
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-10-01,42
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-11-01,39
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2024-12-01,37
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-01-01,33
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-02-01,39
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-03-01,37
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-04-01,25
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-05-01,31
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-06-01,33
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-07-01,25
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-08-01,36
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-09-01,32
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-10-01,35
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-11-01,43
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2023-12-01,41
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-01-01,32
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-02-01,27
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-03-01,27
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-04-01,25
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-05-01,29
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-06-01,34
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-07-01,31
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-08-01,33
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-09-01,31
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-10-01,33
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-11-01,32
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2024-12-01,36
Accept,2023-01-01,26
Accept,2023-02-01,25
Accept,2023-03-01,40
Accept,2023-04-01,29
Accept,2023-05-01,27
Accept,2023-06-01,36
Accept,2023-07-01,32
Accept,2023-08-01,27
Accept,2023-09-01,25
Accept,2023-10-01,27
Accept,2023-11-01,29
Accept,2023-12-01,39
Accept,2024-01-01,38
Accept,2024-02-01,27
Accept,2024-03-01,25
Accept,2024-04-01,29
Accept,2024-05-01,38
Accept,2024-06-01,31
Accept,2024-07-01,33
Accept,2024-08-01,39
Accept,2024-09-01,39
Accept,2024-10-01,34
Accept,2024-11-01,37
Accept,2024-12-01,43
Adrian Leaper & Doreen de Feis,2023-01-01,31
Adrian Leaper & Doreen de Feis,2023-02-01,41
Adrian Leaper & Doreen de Feis,2023-03-01,44
Adrian Leaper & Doreen de Feis,2023-04-01,28
Adrian Leaper & Doreen de Feis,2023-05-01,29
Adrian Leaper & Doreen de Feis,2023-06-01,31
Adrian Leaper & Doreen de Feis,2023-07-01,37
Adrian Leaper & Doreen de Feis,2023-08-01,39
Adrian Leaper & Doreen de Feis,2023-09-01,35
Adrian Leaper & Doreen de Feis,2023-10-01,28
Adrian Leaper & Doreen de Feis,2023-11-01,37
Adrian Leaper & Doreen de Feis,2023-12-01,31
Adrian Leaper & Doreen de Feis,2024-01-01,43
Adrian Leaper & Doreen de Feis,2024-02-01,26
Adrian Leaper & Doreen de Feis,2024-03-01,34
Adrian Leaper & Doreen de Feis,2024-04-01,37
Adrian Leaper & Doreen de Feis,2024-05-01,30
Adrian Leaper & Doreen de Feis,2024-06-01,36
Adrian Leaper & Doreen de Feis,2024-07-01,36
